Sensitivity,Result,URL
1Base_Wx-Years_EQ_,"Dump energy for Portugal",https://epsi.genscape.com/epsa/sensitivity/3416/results/377/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Demand for Denmark (West)",https://epsi.genscape.com/epsa/sensitivity/3416/results/103/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"CO2 price for Great Britain",https://epsi.genscape.com/epsa/sensitivity/3416/results/201/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Dump energy for Switzerland",https://epsi.genscape.com/epsa/sensitivity/3416/results/379/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Net exports for Denmark (East)",https://epsi.genscape.com/epsa/sensitivity/3416/results/113/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Missing object",https://epsi.genscape.com/epsa/sensitivity/3416/results/152/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Fuel price (original units) for Great Britain, Coal",https://epsi.genscape.com/epsa/sensitivity/3416/results/189/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Spain, ST-Biomass",https://epsi.genscape.com/epsa/sensitivity/3416/results/342/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Denmark (East), ST-Waste",https://epsi.genscape.com/epsa/sensitivity/3416/results/295/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for Netherlands, ST-Gas",https://epsi.genscape.com/epsa/sensitivity/3416/results/266/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Switzerland, Wind",https://epsi.genscape.com/epsa/sensitivity/3416/results/91/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Spain, ST-Oil",https://epsi.genscape.com/epsa/sensitivity/3416/results/341/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Demand for Netherlands",https://epsi.genscape.com/epsa/sensitivity/3416/results/107/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Switzerland, ST-Nuclear",https://epsi.genscape.com/epsa/sensitivity/3416/results/87/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for GB-Severn # 2",https://epsi.genscape.com/epsa/sensitivity/3416/results/174/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Denmark (West), Solar",https://epsi.genscape.com/epsa/sensitivity/3416/results/77/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for Germany, ST-Biomass",https://epsi.genscape.com/epsa/sensitivity/3416/results/214/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for Belgium, ST-Waste",https://epsi.genscape.com/epsa/sensitivity/3416/results/221/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Germany, ST-Biomass",https://epsi.genscape.com/epsa/sensitivity/3416/results/39/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
